id,language,vulnerability_type,difficulty,code,is_vulnerable,evidence_support_true,evidence_support_false,evidence_strength,has_conflict,conf1,conf2,expected_direction,belief_update_alignment,reasoning_steps,mutation_level,is_cve_style
7d4bd098-a408-4df6-a043-dd4128674bc0,Python,Weak Crypto,easy,hashlib.md5(password).hexdigest(),False,Potential vulnerability detected.,Looks safe after review.,0.706,True,0.347,0.521,increase,True,5,2,True
aad28e7c-d4d7-49b3-8277-c7164c40293b,Python,SQL Injection,easy,"def get_user(db, uid):
    query = f""SELECT * FROM users WHERE id = {uid}""
    return db.execute(query)",True,Potential vulnerability detected.,Looks safe after review.,0.73,False,0.503,0.659,increase,True,2,2,False
f7a4c930-1255-4bb1-a759-318227a54405,Python,SQL Injection,hard,"def get_user(db, uid):
    query = f""SELECT * FROM users WHERE id = {uid}""
    return db.execute(query)",False,Potential vulnerability detected.,Looks safe after review.,0.758,True,0.404,0.526,increase,True,1,2,True
41249443-92d3-490c-bc6f-d65828ffb797,JavaScript,Insecure Deserialization,hard,pickle.loads(data),False,Potential vulnerability detected.,Looks safe after review.,0.884,False,0.684,0.53,decrease,True,1,3,False
26d5a875-e990-4d4e-9287-335d6b6d7d14,C,Weak Crypto,medium,hashlib.md5(password).hexdigest(),True,Potential vulnerability detected.,Looks safe after review.,0.764,True,0.623,0.789,increase,True,2,1,False
26585b70-4ace-40ef-8d42-20b739ba9de1,JavaScript,Path Traversal,hard,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.46,True,0.298,0.177,decrease,True,5,3,True
8ae72fe1-1b9c-4a8c-aa26-f20fc79eeedf,C,Buffer Overflow,easy,"char buf[10]; strcpy(buf, input);",True,Potential vulnerability detected.,Looks safe after review.,0.684,True,0.477,0.278,decrease,True,3,1,True
8406adf9-5b6a-45cb-82c4-1eb19ee08e5c,JavaScript,SQL Injection,medium,"app.get('/user', (req,res)=>{ let q = `SELECT * FROM users WHERE id = ${req.query.id}`; db.exec(q); });",False,Potential vulnerability detected.,Looks safe after review.,0.6,False,0.24,0.119,decrease,True,2,2,True
50b7dfdf-7cfc-4b61-aa55-bb1bea492fab,C,Command Injection,hard,os.system('ls ' + userInput),False,Potential vulnerability detected.,Looks safe after review.,0.54,True,0.648,0.458,decrease,True,2,3,False
b6cc7254-ef3d-417d-8ae3-207415133b78,Python,XSS,easy,res.send('<div>' + userInput + '</div>');,True,Potential vulnerability detected.,Looks safe after review.,0.531,False,0.576,0.416,decrease,True,5,2,True
2e976e21-fd0d-433d-8ceb-089631883b2a,C,Weak Crypto,easy,hashlib.md5(password).hexdigest(),False,Potential vulnerability detected.,Looks safe after review.,0.561,False,0.661,0.55,decrease,True,1,3,False
241abfbc-9b2b-43b7-80af-0d482c325402,Python,Buffer Overflow,hard,"char buf[10]; strcpy(buf, input);",True,Potential vulnerability detected.,Looks safe after review.,0.605,True,0.722,0.538,decrease,True,2,2,True
d0dc72fc-5d50-489f-aedd-5c1bf3e6beb2,C,Buffer Overflow,easy,"char buf[10]; strcpy(buf, input);",False,Potential vulnerability detected.,Looks safe after review.,0.827,False,0.493,0.686,increase,True,2,1,True
8d825ba4-57c2-4a24-ae17-9a94715c3f1b,Python,Use After Free,easy,free(ptr); printf(ptr);,False,Potential vulnerability detected.,Looks safe after review.,0.585,True,0.69,0.803,increase,True,3,3,False
0215599b-edd7-4dc0-958d-fdb315c5dcce,C,Command Injection,hard,os.system('ls ' + userInput),True,Potential vulnerability detected.,Looks safe after review.,0.69,False,0.628,0.428,decrease,True,5,2,True
01df264f-e122-43e0-8b08-de0454b627b0,Python,Command Injection,easy,os.system('ls ' + userInput),False,Potential vulnerability detected.,Looks safe after review.,0.304,True,0.213,0.372,increase,True,2,1,True
a8882192-4abb-4a1f-b741-6b24900045bf,Python,Insecure Deserialization,hard,pickle.loads(data),True,Potential vulnerability detected.,Looks safe after review.,0.379,False,0.367,0.246,decrease,True,2,2,False
f8340abc-5970-4a26-8915-87401096a967,Python,Command Injection,easy,os.system('ls ' + userInput),False,Potential vulnerability detected.,Looks safe after review.,0.737,True,0.413,0.266,decrease,True,1,2,False
